harnessGens	bestFit	meanFit	sdFit
200	106.551	102.371933933	1.90462242881
200	103.431	101.958053848	1.69582827173
200	107.011	102.748476433	3.01119352494
200	102.284	101.565508759	1.5257572124
200	106.168	103.477212116	2.61127202377
200	110.93	104.538346214	3.50578898134
200	115.887	106.123791565	4.17897635282
200	111.3	103.709223179	3.88816280006
200	112.533	106.948816418	5.16644718426
200	102.544	102.028605022	1.52580940144
200	105.999	104.547267776	2.57251625915
200	113.23	107.655074791	4.962800645
200	105.833	103.848325958	2.25609013429
100	102.957	102.463752762	1.42664412812
100	103.786	102.240670979	1.52522502833
100	104.178	101.930514629	1.61690432123
100	104.022	102.360211414	1.64222786219
100	109.556	104.806678108	3.90429648359
100	112.98	103.839374069	3.6317179453
100	102.053	101.260353634	1.11818850547
50	103.835	102.99348608	1.50298279788
50	105.049	103.316790051	1.95629657928
50	102.247	101.742585392	1.06310844948
50	104.781	103.544263493	1.80568321587
50	104.092	102.214962128	1.30039008669
50	104.761	102.445176056	1.48975976616
50	109.141	104.668286293	2.78578769019
50	104.441	103.241643787	1.75494859771
50	104.75	103.394529545	1.71412749928
50	103.883	102.533041889	1.5182663991
0	102.474	102.102304108	0.714413603659
